Statistical profiling result from isolate-0x7f110c000de0-74461-v8.log, (8291 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.9%        LazyCompile: *formatRaw internal/util/inspect.js:806:19
      1  100.0%          LazyCompile: *formatValue internal/util/inspect.js:737:21
      1  100.0%            LazyCompile: *inspect internal/util/inspect.js:283:17
      1    2.9%        LazyCompile: *FastBuffer internal/buffer.js:951:1
      1  100.0%          LazyCompile: ~createUnsafeBuffer buffer.js:149:28
      1  100.0%            LazyCompile: ~createPool buffer.js:158:20
      1    2.9%        Eval: ~<anonymous> internal/per_context/primordials.js:1:1
     30    1.8%      LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     28    1.7%      LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:28:16
     21   75.0%        LazyCompile: *emit events.js:263:44
     21  100.0%          LazyCompile: ~endReadableNT _stream_readable.js:1320:23
     21  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      4   14.3%        LazyCompile: *endReadableNT _stream_readable.js:1320:23
      4  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      3   10.7%        LazyCompile: ~emit events.js:263:44
      3  100.0%          LazyCompile: ~endReadableNT _stream_readable.js:1320:23
      3  100.0%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     25    1.5%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
     25  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
     25  100.0%          LazyCompile: ~Socket._writeGeneric net.js:759:42
     25  100.0%            LazyCompile: ~Socket._write net.js:796:35
     25    1.5%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
     21   84.0%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:298:29
      3   14.3%          Script: ~<anonymous> stream.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    9.5%          Script: ~<anonymous> crypto.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    9.5%          LazyCompile: ~initializeCJSLoader internal/bootstrap/pre_execution.js:405:29
      2  100.0%            LazyCompile: ~<anonymous> internal/main/worker_thread.js:95:20
      1    4.8%          Script: ~<anonymous> timers.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/worker/io.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/worker.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/url.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/process/task_queues.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/modules/esm/loader.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/main/worker_thread.js:1:1
      1    4.8%          Script: ~<anonymous> internal/console/global.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> internal/bootstrap/node.js:1:1
      1    4.8%          Script: ~<anonymous> https.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> http.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> fs.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> events.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    4.8%          Script: ~<anonymous> _http_client.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      4   16.0%        LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:214:25
      4  100.0%          LazyCompile: ~loadNativeModule internal/modules/cjs/helpers.js:31:26
      4  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
     24    1.4%      LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     24  100.0%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     20   83.3%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     16   80.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      4   20.0%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     22    1.3%      LazyCompile: *writeOrBuffer _stream_writable.js:334:23
     12   54.5%        LazyCompile: *_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
      5   41.7%          LazyCompile: ~sync /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:169:7
      5  100.0%            LazyCompile: ~_getRows /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:170:11
      5   41.7%          LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      5  100.0%            LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      1    8.3%          LazyCompile: ~parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:149:8
      1  100.0%            LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      1    8.3%          LazyCompile: ~describe /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:191:11
      1  100.0%            LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      6   27.3%        LazyCompile: *Writable.write _stream_writable.js:258:36
      3   50.0%          LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      3  100.0%            LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      2   33.3%          LazyCompile: *submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      2  100.0%            LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:496:8
      1   16.7%          LazyCompile: ~_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
