Statistical profiling result from isolate-0x7fc8a8000de0-14038-v8.log, (29756 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.8%        LazyCompile: ~getOwn internal/bootstrap/loaders.js:150:16
      1  100.0%          LazyCompile: ~syncExports internal/bootstrap/loaders.js:253:14
      1  100.0%            LazyCompile: ~<anonymous> internal/bootstrap/loaders.js:239:15
      1    2.8%        LazyCompile: ~formatPrimitive internal/util/inspect.js:1392:25
      1  100.0%          LazyCompile: ~formatValue internal/util/inspect.js:737:21
      1  100.0%            LazyCompile: *formatProperty internal/util/inspect.js:1681:24
      1    2.8%        LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      1  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      1  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      1    2.8%        LazyCompile: ~_writev internal/worker/io.js:230:10
      1  100.0%          LazyCompile: ~doWrite _stream_writable.js:367:17
      1  100.0%            LazyCompile: ~clearBuffer _stream_writable.js:493:21
      1    2.8%        LazyCompile: ~<anonymous> internal/per_context/primordials.js:23:10
      1  100.0%          LazyCompile: ~readPackageScope internal/modules/cjs/loader.js:271:26
      1  100.0%            LazyCompile: ~trySelf internal/modules/cjs/loader.js:391:17
      1    2.8%        LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:107:27
      1  100.0%          LazyCompile: *emit events.js:263:44
      1  100.0%            LazyCompile: ~parserOnIncoming _http_server.js:809:26
      1    2.8%        LazyCompile: *clearBuffer _stream_writable.js:493:21
      1  100.0%          LazyCompile: *end _http_outgoing.js:769:45
      1  100.0%            LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      1    2.8%        LazyCompile: *<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:107:27
      1  100.0%          LazyCompile: *parserOnIncoming _http_server.js:809:26
      1  100.0%            LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      1    2.8%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      1  100.0%          LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     32    2.2%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
     28   87.5%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:298:29
      3   10.7%          Eval: ~<anonymous> http.js:1:1
      3  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Script: ~<anonymous> internal/modules/cjs/loader.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Script: ~<anonymous> internal/bootstrap/node.js:1:1
      2    7.1%          Eval: ~<anonymous> tls.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Eval: ~<anonymous> internal/child_process.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> stream.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> internal/worker.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> internal/streams/pipeline.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> internal/process/task_queues.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> internal/event_target.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> buffer.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> _stream_readable.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          LazyCompile: ~setupPrepareStackTrace internal/bootstrap/node.js:251:32
      1  100.0%            Script: ~<anonymous> internal/bootstrap/node.js:1:1
      1    3.6%          LazyCompile: ~get dns.js:324:8
      1  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      1    3.6%          Eval: ~<anonymous> internal/main/worker_thread.js:1:1
      1    3.6%          Eval: ~<anonymous> https.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> dns.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> crypto.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> cluster.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> child_process.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> _http_outgoing.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> _http_client.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      4   12.5%        LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:214:25
      4  100.0%          LazyCompile: ~loadNativeModule internal/modules/cjs/helpers.js:31:26
      4  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
     30    2.1%      LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     24    1.7%      LazyCompile: *writeGeneric internal/stream_base_commons.js:143:22
     22   91.7%        LazyCompile: *_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
     17   77.3%          LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      9   52.9%            LazyCompile: *submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      8   47.1%            LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
      2    9.1%          LazyCompile: ~bind /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:154:7
      2  100.0%            LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      1    4.5%          LazyCompile: ~sync /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:169:7
      1  100.0%            LazyCompile: ~_getRows /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:170:11
      1    4.5%          LazyCompile: ~parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:149:8
      1  100.0%            LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      1    4.5%          LazyCompile: ~describe /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:191:11
      1  100.0%            LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
      1    4.2%        LazyCompile: ~Socket._writeGeneric net.js:759:42
      1  100.0%          LazyCompile: ~Socket._write net.js:796:35
      1  100.0%            LazyCompile: ~writeOrBuffer _stream_writable.js:334:23
      1    4.2%        LazyCompile: *Writable.write _stream_writable.js:258:36
      1  100.0%          LazyCompile: ~_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
      1  100.0%            LazyCompile: ~bind /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:154:7
     20    1.4%      LazyCompile: *_release /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:304:11
     16   80.0%        LazyCompile: *handleReadyForQuery /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:133:22
     16  100.0%          LazyCompile: ~_handleReadyForQuery /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:271:23
     16  100.0%            LazyCompile: *parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/parser.js:28:10
      4   20.0%        LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:292:12
      4  100.0%          LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-pool/index.js:367:34
      4  100.0%            LazyCompile: ~handleReadyForQuery /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:133:22
     19    1.3%      LazyCompile: *formatRaw internal/util/inspect.js:806:19
     19  100.0%        LazyCompile: *formatValue internal/util/inspect.js:737:21
     13   68.4%          LazyCompile: *formatProperty internal/util/inspect.js:1681:24
     13  100.0%            LazyCompile: *formatRaw internal/util/inspect.js:806:19
      6   31.6%          LazyCompile: *inspect internal/util/inspect.js:283:17
      6  100.0%            LazyCompile: *dir internal/console/constructor.js:357:6
     18    1.3%      LazyCompile: ~_writev internal/worker/io.js:230:10
     18  100.0%        LazyCompile: ~doWrite _stream_writable.js:367:17
     18  100.0%          LazyCompile: ~clearBuffer _stream_writable.js:493:21
     11   61.1%            LazyCompile: ~onwrite _stream_writable.js:394:17
      7   38.9%            LazyCompile: *onwrite _stream_writable.js:394:17
     15    1.1%      LazyCompile: ~internalConnect net.js:865:25
     15  100.0%        LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:420:36
     15  100.0%          LazyCompile: ~<anonymous> net.js:1007:73
      8   53.3%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      7   46.7%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
     62    2.0%    LazyCompile: *clearBuffer _stream_writable.js:493:21
     33   53.2%      LazyCompile: *end _http_outgoing.js:769:45
     33  100.0%        LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     33  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     33  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     26   41.9%      LazyCompile: *onwrite _stream_writable.js:394:17
