Statistical profiling result from isolate-0x7ff584000de0-8683-v8.log, (8730 ticks, 3 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     32    1.8%      LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
     28   87.5%        LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:298:29
      4   14.3%          Script: ~<anonymous> internal/bootstrap/node.js:1:1
      4   14.3%          Eval: ~<anonymous> crypto.js:1:1
      4  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Script: ~<anonymous> stream.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Script: ~<anonymous> internal/modules/esm/loader.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Eval: ~<anonymous> internal/cluster/master.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      2    7.1%          Eval: ~<anonymous> _http_client.js:1:1
      2  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> internal/timers.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> fs.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> events.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Script: ~<anonymous> buffer.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          LazyCompile: ~setupPrepareStackTrace internal/bootstrap/node.js:251:32
      1  100.0%            Script: ~<anonymous> internal/bootstrap/node.js:1:1
      1    3.6%          LazyCompile: ~initializeCJSLoader internal/bootstrap/pre_execution.js:405:29
      1  100.0%            LazyCompile: ~<anonymous> internal/main/worker_thread.js:95:20
      1    3.6%          Eval: ~<anonymous> tls.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> internal/crypto/cipher.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> http.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> dns.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> dgram.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1    3.6%          Eval: ~<anonymous> assert.js:1:1
      1  100.0%            LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      4   12.5%        LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:214:25
      4  100.0%          LazyCompile: ~loadNativeModule internal/modules/cjs/helpers.js:31:26
      4  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:704:24
     29    1.6%      /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     11   37.9%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      5   17.2%        LazyCompile: ~parseInteger /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-types/lib/textParsers.js:109:28
      3   60.0%          LazyCompile: *parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      3  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      1   20.0%          LazyCompile: ~parseRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/result.js:62:11
      1  100.0%            LazyCompile: ~handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      1   20.0%          LazyCompile: *handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:79:16
      1  100.0%            LazyCompile: ~_handleDataRow /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:343:17
      3   10.3%        LazyCompile: ~runScript /home/yehor/Gitlab/distributed-communication-system/lib/app.js:64:12
      3  100.0%          LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      3  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      3   10.3%        LazyCompile: ~onParserExecuteCommon _http_server.js:658:31
      2   66.7%          LazyCompile: *onParserExecute _http_server.js:601:25
      1   33.3%          LazyCompile: ~onParserExecute _http_server.js:601:25
      2    6.9%        LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      1    3.4%        Script: ~<anonymous> net.js:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader internal/bootstrap/loaders.js:265:27
      1  100.0%            LazyCompile: ~compileForPublicLoader internal/bootstrap/loaders.js:214:25
      1    3.4%        LazyCompile: ~stat internal/modules/cjs/loader.js:132:14
      1  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:444:28
      1  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:796:35
      1    3.4%        LazyCompile: ~parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg-protocol/dist/index.js:8:15
      1  100.0%          LazyCompile: ~attachListeners /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:100:18
      1  100.0%            LazyCompile: ~connect /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:34:10
      1    3.4%        LazyCompile: ~_writev internal/worker/io.js:230:10
      1  100.0%          LazyCompile: ~doWrite _stream_writable.js:367:17
      1  100.0%            LazyCompile: ~clearBuffer _stream_writable.js:493:21
      1    3.4%        LazyCompile: *FastBuffer internal/buffer.js:951:1
      1  100.0%          LazyCompile: ~createUnsafeBuffer buffer.js:149:28
      1  100.0%            LazyCompile: ~createPool buffer.js:158:20
     20    1.1%      LazyCompile: ~handleWriteReq internal/stream_base_commons.js:47:24
     20  100.0%        LazyCompile: ~writeGeneric internal/stream_base_commons.js:143:22
     20  100.0%          LazyCompile: ~Socket._writeGeneric net.js:759:42
     20  100.0%            LazyCompile: ~Socket._write net.js:796:35
     19    1.1%      LazyCompile: ~api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     16   84.2%        /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     15   93.8%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      8   53.3%            LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      7   46.7%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      3   15.8%        LazyCompile: ~<anonymous> /home/yehor/Gitlab/distributed-communication-system/lib/server.js:107:27
      2   66.7%          LazyCompile: *emit events.js:263:44
      2  100.0%            LazyCompile: ~parserOnIncoming _http_server.js:809:26
      1   33.3%          LazyCompile: ~emit events.js:263:44
      1  100.0%            LazyCompile: ~parserOnIncoming _http_server.js:809:26
     18    1.0%      LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     76    2.2%    LazyCompile: *clearBuffer _stream_writable.js:493:21
     42   55.3%      LazyCompile: *onwrite _stream_writable.js:394:17
     29   69.0%        LazyCompile: ~<anonymous> internal/worker/io.js:250:32
     29  100.0%          LazyCompile: ~<anonymous> internal/main/worker_thread.js:95:20
     22   75.9%            LazyCompile: ~<anonymous> internal/event_target.js:316:20
      7   24.1%            LazyCompile: *<anonymous> internal/event_target.js:316:20
     13   31.0%        LazyCompile: *<anonymous> internal/worker/io.js:250:32
     13  100.0%          LazyCompile: ~<anonymous> internal/main/worker_thread.js:95:20
     13  100.0%            LazyCompile: *<anonymous> internal/event_target.js:316:20
     28   36.8%      LazyCompile: *end _http_outgoing.js:769:45
     28  100.0%        LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
     28  100.0%          /home/yehor/.nvm/versions/node/v14.15.1/bin/node
     28  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node
      6    7.9%      LazyCompile: ~Writable.uncork _stream_writable.js:310:37
      6  100.0%        LazyCompile: ~end _http_outgoing.js:769:45
      6  100.0%          LazyCompile: *api /home/yehor/Gitlab/distributed-communication-system/lib/server.js:58:13
      6  100.0%            /home/yehor/.nvm/versions/node/v14.15.1/bin/node

    303    3.5%  __libc_write
    180   59.4%    LazyCompile: *writeOrBuffer _stream_writable.js:334:23
    108   60.0%      LazyCompile: *_send /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:137:8
     30   27.8%        LazyCompile: *prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
     30  100.0%          LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
     29   96.7%            LazyCompile: *query /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:496:8
      1    3.3%            LazyCompile: ~_pulseQueryQueue /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/client.js:474:19
     28   25.9%        LazyCompile: ~parse /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:149:8
     28  100.0%          LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
     28  100.0%            LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
     16   14.8%        LazyCompile: ~bind /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/connection.js:154:7
     16  100.0%          LazyCompile: ~prepare /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:186:10
     16  100.0%            LazyCompile: ~submit /home/yehor/Gitlab/distributed-communication-system/node_modules/pg/lib/query.js:143:9
